source_start,source_end,target_start,target_end
80004000,80006434,80004000,80006434
8001da60,8001f354,8001d9a0,8001f294
80020884,80023554,80020794,80023464
80023558,80028214,80023468,80028124
80028368,8003ca20,8002824c,8003c904
8003d624,80053af0,8003d50c,800539d8
80053c50,80057118,80053b38,80057000
800572d0,80072f04,800571b8,80072dec
80073494,80078e6c,8007337c,80078d54
80078e70,80080b04,80078d58,800809ec
800817fc,800845a4,80081728,800844d0
800858b8,800a14a0,80085b4c,800a1734
800a1808,800cc1b0,800a1a04,800cc3ac
800cc358,800d22d8,800cc554,800d24d4
800d22d8,800d7c20,800d2500,800d7e48
800d8370,800e0e60,800d8540,800e1030
800e0e74,800e4858,800e103c,800e4a20
800e48b4,800e9190,800e4a30,800e930c
800e9a90,800ef1b4,800e9924,800ef048
800ef394,800f1fc0,800ef1ec,800f1e18
800f221c,800f4d8c,800f1f6c,800f4adc
800f5694,800f8434,800f52b4,800f8054
800f897c,800fc180,800f8590,800fbd94
800fdbb4,800ffdb0,800fd208,800ff404
80100234,80101a58,800ff888,801010ac
80101dfc,8010aec4,8010141c,8010a4e4
8010c48c,801121dc,8010ba48,80111798
80112348,8012b098,801118ec,8012a63c
8012b20c,801369b0,8012a790,80135f34
80136d1c,8013b290,80136294,8013a808
8013c5d8,80146904,8013bb0c,80145e38
80147c30,80157938,8014713c,80156e44
80157994,8015eb58,80156ea0,8015e064
8015edec,80161d70,8015e280,80161204
80162a2c,80165780,80161e7c,80164bd0
80165888,8016a648,80164cb4,80169a74
8016b9dc,8016eb40,8016ae08,8016df6c
8016eb48,80178b00,8016df74,80177f2c
8017bc40,8017e890,8017af84,8017dbd4
80180cb4,8018e0f8,8017ffb8,8018d3fc
8018e3b4,80193adc,8018d6a0,80192dc8
80194d98,8019a17c,80193f58,8019933c
8019af64,8019e29c,8019a0d0,8019d408
8019e2e0,801a2ca0,8019d544,801a1f04
801a2ee4,801a5e6c,801a229c,801a5224
801a8400,801aaeb4,801a7608,801aa0bc
801aeefc,801b2934,801adf8c,801b19c4
801b338c,801b8114,801b22ec,801b7074
801b8140,801b9c84,801b7068,801b8bac
801b9c88,801c793c,801b8bb0,801c6864
801c8aa8,801ca488,801c785c,801c923c
801cc90c,801d1248,801cb154,801cfa90
801d25f0,801d5f20,801d0dbc,801d46ec
801d626c,801dad74,801d4a70,801d9578
801dd908,801e20d4,801dc0ac,801e0878
801e21f4,801e3a28,801e09c8,801e21fc
801e3e90,801e5cc8,801e2614,801e444c
801e74a8,801ea998,801e5b88,801e9078
801eb4f8,801ee470,801e9bcc,801ecb44
801ee53c,801f26dc,801ecbb4,801f0d54
801f2858,801fb46c,801f0e8c,801f9aa0
801fdd90,80200c38,801fbd64,801fec0c
80200d5c,80202e78,801fec00,80200d1c
80204578,8020ebf0,802023a4,8020ca1c
8020ef04,80214514,8020cd14,80212324
80215230,80217214,80212f3c,80214f20
80217284,8021dbcc,80214f20,8021b868
8021dc40,8021fcc0,8021b868,8021d8e8
8021fce4,80225a04,8021d8e8,80223608
80227208,8022dd70,80224db4,8022b91c
8022f128,80230c2c,8022cc3c,8022e740
80230c80,80232b70,8022e740,80230630
8023435c,802385a4,80231d34,80235f7c
802385e0,8023ce1c,80235f8c,8023a7c8
8023ce1c,8023e698,8023a7d0,8023c04c
8023f0d4,802416f4,8023c9ac,8023efcc
80241d7c,8024bbac,8023f5d4,80249404
8024bdc8,80268a50,80249520,802661a8
80268a4c,80270080,802661ac,8026d7e0
80270080,80274664,8026d810,80271df4
80274e30,80277c24,80272584,80275378
80277d64,80287130,80275378,80284744
8028bacc,80296084,80288f00,802934b8
80296084,802cd728,80293718,802cadbc
802d117c,802d32a0,802ce758,802d087c
802d9e74,802dbd84,802d70e0,802d8ff0
802dcf7c,802e15c4,802da140,802de788
802e208c,802e7e3c,802df134,802e4ee4
802ef58c,802f3100,802ec4d8,802f004c
802f667c,802f8acc,802f3748,802f5b98
80313774,80317544,803109c4,80314794
803177b4,803193a4,80314a00,803165f0
803193d4,8031b0f4,80316610,80318330
