source_start,source_end,target_start,target_end
80004000,80006434,80004000,80006434
8001da60,80023554,8001dc00,800236f4
80023558,8002eda8,800236f8,8002ef48
80032998,80034b44,80255358,80257504
80034b44,8003d2bc,8002ef40,800376b8
8003e5cc,80072f04,80038a00,8006d338
80073494,80078e6c,8006d8c8,800732a0
80078e70,8007a5b8,800732a4,800749ec
8007a74c,800c5e8c,80074b88,800c02c8
800c5f60,800cc1b0,800c03cc,800c661c
800cc358,800d7890,800c67cc,800d1d04
800d87d8,800fc180,800d2c60,800f6608
800fdbb4,8010e820,800f96b0,8010a31c
8010e820,80178ba0,8010a3ac,8017472c
8017ad94,8017d324,80176ae4,80179074
8017d434,8017e890,8017918c,8017a5e8
8017e988,8017f99c,8017a6e0,8017b6f4
80180cb4,80182bf0,8017ca80,8017e9bc
80184d08,8018e0a4,80180db0,8018a14c
8018e3b4,8019a17c,8018a468,80196230
8019af64,8019ffb8,80197038,8019c08c
801a37b4,801a6028,8019c08c,8019e900
801a61c4,801a74f0,8019ea9c,8019fdc8
801a84f4,801c80e0,801a0f50,801c0b3c
801c85bc,8023824c,801c0e2c,80230abc
8023fa18,802414e8,80237ff0,80239ac0
80241d7c,80244854,8023a2ac,8023cd84
80246cac,80255838,8023f5c4,8024e150
80255e00,8025cf40,80257b08,8025ec48
8025cf40,80260958,8025eccc,802626e4
80261518,8026440c,8026381c,80266710
802643fc,80268a50,80266704,8026ad58
80268a4c,8026df74,8026ad5c,80270284
8026f07c,80270080,80271468,8027246c
80270080,802713e8,8027249c,80273804
802734e4,80275ca8,80275c00,802783c4
80276330,80278a04,80278cd8,8027b3ac
8027a1b0,8027bf84,8027e0fc,8027fed0
80284eac,80286ea4,8028a760,8028c758
80287634,802890c4,8028cf20,8028e9b0
802894e8,8028a8b8,8028ede8,802901b8
8028b1fc,8028d0a0,80290b44,802929e8
8028decc,80290270,80293814,80295bb8
80290270,8029194c,80295bdc,802972b8
80291978,80293ed0,8029730c,80299864
80293f44,8029600c,802998e0,8029b9a8
8029c884,8029e498,802a2a58,802a466c
8029e774,802a0b60,802a49e4,802a6dd0
802a1e98,802cc920,802a7824,802d22ac
802cd8cc,802cea74,802d346c,802d4614
802d0bb4,802d457c,802d6808,802da1d0
802d8bc4,802daa48,802df214,802e1098
802e276c,802e3ef8,802e9a98,802eb224
802e689c,802e7d74,802ef8f8,802f0dd0
802f14b4,802f2544,802fccb0,802fdd40
